17,2.9,1383,150.0,11.2,1020,243.0,1008,135.0,1719,1104,9.8,67.6,0.8185,0,0,0,0,0,1,0
18,4.8,1581,307.0,20.8,1319,281.0,799,151.0,2083,1409,10.3,64.2,0.8065,0,0,0,0,0,1,0
19,6.9,1776,461.0,27.4,1488,383.0,702,172.0,2333,1704,9.7,69.3,0.8319,0,0,0,0,0,1,0
20,6.1,1640,401.0,24.0,1404,351.0,743,165.0,2191,1654,9.6,67.8,0.8133,0,0,0,0,0,1,0
21,3.9,1313,197.0,12.8,1076,240.0,957,136.0,1707,1285,9.1,64.0,0.7419,0,0,0,0,0,1,0
22,1.5,965,61.0,4.7,749,94.0,1325,85.0,1333,821,8.2,63.4,0.6905,0,0,0,0,0,1,0
23,1.0,913,26.0,2.6,629,47.0,1565,53.0,1252,552,8.2,60.8,0.6657,0,0,0,0,0,1,0
0,1.7,1080,55.0,5.9,805,122.0,1254,97.0,1375,816,8.3,58.5,0.6438,0,0,0,0,0,0,1
1,1.9,1044,53.0,6.4,829,133.0,1247,110.0,1378,832,7.7,59.7,0.6308,0,0,0,0,0,0,1
2,1.4,988,40.0,4.1,718,82.0,1396,91.0,1304,692,7.1,61.8,0.6276,0,0,0,0,0,0,1
3,0.8,889,21.0,1.9,574,33.33333,1680,47.66667,1187,512,7.0,62.3,0.6261,0,0,0,0,0,0,1
4,0.56667,831,10.0,1.1,506,21.0,1893,32.0,1134,384,6.1,65.9,0.6248,0,0,0,0,0,0,1
5,0.6,847,7.0,1.0,501,30.0,1895,44.0,1155,394,6.3,65.0,0.6233,0,0,0,0,0,0,1
6,0.8,927,17.0,1.8,571,56.0,1685,71.0,1223,487,6.8,62.9,0.6234,0,0,0,0,0,0,1
7,1.4,1091,33.0,4.4,730,109.0,1387,104.0,1361,748,6.4,65.1,0.6316,0,0,0,0,0,0,1
8,4.4,1587,202.0,17.9,1236,307.0,897,141.0,1900,1400,7.3,63.1,0.6499,0,0,0,0,0,0,1
10,3.1,1350,208.0,14.0,1118,187.0,912,122.0,1712,1237,13.2,41.7,0.632,0,0,0,0,0,0,1
11,2.7,1263,166.0,11.6,1037,216.0,969,143.0,1598,1167,14.3,38.4,0.6243,0,0,0,0,0,0,1
12,2.1,1206,114.0,10.2,986,143.0,1035,113.0,1537,959,15.0,36.5,0.6195,0,0,0,0,0,0,1
13,2.5,1252,140.0,11.0,1016,160.0,1008,116.0,1593,983,16.1,34.5,0.6262,0,0,0,0,0,0,1
14,2.7,1287,169.0,12.8,1078,163.0,949,123.0,1660,1061,16.3,35.7,0.656,0,0,0,0,0,0,1
15,2.9,1353,185.0,14.2,1122,190.0,922,126.0,1740,1139,15.8,37.0,0.661,0,0,0,0,0,0,1
16,2.8,1309,165.0,12.7,1073,178.0,954,120.0,1657,1112,15.9,37.2,0.6657,0,0,0,0,0,0,1
17,2.4,1274,133.0,11.7,1041,150.0,1006,119.0,1610,994,16.9,34.3,0.6549,0,0,0,0,0,0,1
18,3.9,1510,233.0,19.3,1277,206.0,812,149.0,1910,1410,15.1,39.6,0.6766,0,0,0,0,0,0,1
19,3.7,1525,242.0,18.2,1246,202.0,821,145.0,1847,1448,14.4,43.4,0.7084,0,0,0,0,0,0,1
20,6.6,1843,488.0,32.6,1610,340.0,624,170.0,2390,1887,12.9,50.5,0.7478,0,0,0,0,0,0,1
21,4.4,1598,333.0,20.1,1299,274.0,752,149.0,1941,1627,12.1,53.3,0.7536,0,0,0,0,0,0,1
22,3.5,1484,215.0,14.3,1127,253.0,839,139.0,1723,1491,11.0,59.1,0.774,0,0,0,0,0,0,1
23,5.4,1677,367.0,21.8,1346,300.0,741,134.0,2062,1657,9.7,64.6,0.7771,0,0,0,0,0,0,1
0,2.7,1280,122.0,9.6,964,193.0,963,113.0,1544,1285,9.5,64.1,0.7597,1,0,0,0,0,0,0
1,1.9,1196,67.0,7.4,873,139.0,1071,97.0,1463,1144,9.1,63.9,0.7423,1,0,0,0,0,0,0
2,1.6,1184,43.0,5.4,782,83.0,1176,82.0,1365,1043,8.8,63.9,0.7256,1,0,0,0,0,0,0
3,1.7,1172,46.0,5.4,783,57.66667,1179,61.33333,1380,996,7.8,67.5,0.7173,1,0,0,0,0,0,0
4,0.86667,1147,56.0,6.2,821,109.0,1132,83.0,1412,992,7.0,71.1,0.7158,1,0,0,0,0,0,0
5,1.0,978,30.0,2.6,625,62.0,1420,65.0,1274,819,8.3,63.6,0.6982,1,0,0,0,0,0,0
6,1.2,1100,27.0,2.9,646,53.0,1406,60.0,1268,835,7.2,67.5,0.6887,1,0,0,0,0,0,0
7,1.5,1112,47.0,5.1,770,139.0,1228,77.0,1409,940,6.3,71.9,0.6932,1,0,0,0,0,0,0
8,2.7,1336,132.0,11.8,1043,256.0,935,96.0,1678,1192,6.5,71.6,0.6945,1,0,0,0,0,0,0
9,3.7,1408,239.0,15.1,1153,295.0,830,119.0,1777,1411,9.6,59.7,0.7124,1,0,0,0,0,0,0
10,3.2,1447,160.0,12.9,1081,250.0,869,126.0,1667,1465,12.4,51.2,0.7335,1,0,0,0,0,0,0
11,4.1,1542,283.0,16.1,1184,296.0,808,158.0,1780,1583,15.6,42.2,0.7451,1,0,0,0,0,0,0
12,3.6,1451,210.0,14.0,1117,239.0,875,161.0,1679,1387,18.4,33.8,0.709,1,0,0,0,0,0,0
13,2.8,1328,154.0,12.3,1059,153.0,987,124.0,1600,1101,19.4,31.3,0.695,1,0,0,0,0,0,0
14,2.0,1207,112.0,8.6,924,118.0,1088,102.0,1488,850,18.0,34.8,0.7127,1,0,0,0,0,0,0
15,2.0,1240,108.0,9.2,947,119.0,1049,116.0,1532,947,18.4,33.6,0.7042,1,0,0,0,0,0,0
16,2.5,1306,111.0,10.2,987,138.0,1004,124.0,1554,1078,17.6,35.1,0.7012,1,0,0,0,0,0,0
17,2.3,1326,97.0,10.6,1000,148.0,976,125.0,1602,1084,16.7,37.8,0.7117,1,0,0,0,0,0,0
18,3.2,1473,191.0,15.5,1163,227.0,831,148.0,1779,1395,16.1,41.0,0.7451,1,0,0,0,0,0,0
19,4.2,1609,258.0,19.6,1286,277.0,758,165.0,1922,1612,15.8,42.4,0.7569,1,0,0,0,0,0,0
20,4.2,1611,284.0,19.2,1274,279.0,754,161.0,1915,1697,15.7,44.1,0.7786,1,0,0,0,0,0,0
21,4.2,1621,269.0,18.3,1247,283.0,762,159.0,1860,1886,15.3,46.8,0.8091,1,0,0,0,0,0,0
22,3.1,1444,180.0,13.1,1089,214.0,844,143.0,1748,1624,14.6,48.6,0.806,1,0,0,0,0,0,0
23,2.6,1418,116.0,10.9,1010,172.0,892,130.0,1603,1536,14.7,49.3,0.8193,1,0,0,0,0,0,0
0,2.9,1534,93.0,11.0,1013,190.0,889,129.0,1611,1535,13.9,53.6,0.8498,0,1,0,0,0,0,0
1,2.8,1484,131.0,11.9,1045,174.0,880,119.0,1624,1530,14.6,51.5,0.8536,0,1,0,0,0,0,0
2,2.5,1367,92.0,8.6,925,128.0,953,104.0,1543,1337,12.5,58.9,0.8537,0,1,0,0,0,0,0
3,2.4,1344,132.0,9.7,968,89.0,921,86.33333,1620,1278,11.6,63.4,0.8674,0,1,0,0,0,0,0
4,0.96667,1130,56.0,5.2,773,70.0,1130,82.0,1452,1051,12.1,61.1,0.8603,0,1,0,0,0,0,0
5,1.2,1062,32.0,3.7,691,53.0,1272,70.0,1377,929,11.5,63.1,0.8533,0,1,0,0,0,0,0
6,1.0,1076,29.0,2.5,618,44.0,1395,63.0,1333,872,11.6,62.2,0.8473,0,1,0,0,0,0,0
7,0.9,1028,27.0,2.4,615,74.0,1384,67.0,1340,853,10.4,67.6,0.853,0,1,0,0,0,0,0
8,1.4,1155,36.0,4.2,722,101.0,1225,84.0,1414,959,11.6,62.7,0.853,0,1,0,0,0,0,0
9,1.6,1235,57.0,6.4,828,118.0,1055,83.0,1527,1093,12.4,60.0,0.8627,0,1,0,0,0,0,0
